@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute sigma3 numeric
@attribute sigma4 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
732,108,3571.43,6,4,0,2,3,303.268433,114.867538,0.983607,1.818182,6,1.306068,1.025641,3.137255,16,2.86571
740,72,3571.43,5,4,0,4,27,282.04501,99.171265,1.428571,0.965517,6,3.278318,1.538462,2.068966,18,3.709152
742,90,5357.14,5,4,2,4,15,251.369059,77.205146,1.37931,1.298701,6,1.754068,1.690141,2.4,18,4.058619
745,29,1785.71,4,4,2,4,3,1172.395172,535.990581,0.898876,2.028986,6,8.213586,2.295082,1.818182,19,8.822968
746,112,1041.67,10,4,0,1,3,217.527437,188.226856,0.555556,1.052632,6,2.642216,2.666667,1.573034,17,3.168137
747,90,892.86,5,7,0,1,4,343.196187,221.44359,1.578947,1.061947,6,2.430924,0.930233,3.076923,18,3.122359
749,112,5952.38,6,7,3,2,4,209.362359,72.498076,0.451128,1.454545,5,3.672775,1.538462,1.515152,19,2.418641
755,67,7142.86,2,4,2,4,3,229.17829,105.301553,0.504202,0.923077,6,1.704256,2.051282,1.612903,19,3.61519
758,48,5565.48,3,4,0,1,3,1411.030194,420.936888,1.666667,3.888889,8,3.280485,2.702703,1.694915,19,4.356041
759,72,2678.57,5,4,2,1,3,242.773995,99.128039,1.73913,1.025641,6,1.389222,2,1.5,18,3.023046
760,82,5773.81,7,4,0,4,3,431.404964,193.939559,2.641509,1.666667,8,2.407051,2.051282,1.818182,19,4.995129
761,55,1190.48,3,4,2,4,3,398.655112,165.694423,2.033898,2.380952,8,2.867636,1.639344,3.181818,17,3.740986
763,48,3422.62,1,4,0,4,3,886.870106,464.243768,1.081081,1.83908,6,8.998329,1.666667,1.886792,19,6.507302
770,72,4761.9,5,4,0,4,4,543.492939,182.707194,0.8,0.851064,5,6.371175,3.243243,1.818182,19,6.684873
773,54,8035.71,5,4,2,4,15,84.999578,128.957003,1.265823,0.662252,6,2.718575,1.6,2.380952,19,3.329158
777,72,2380.95,6,4,0,4,3,123.62092,54.367681,0.714286,0.869565,6,0.795449,1.538462,2.702703,19,2.019261
779,67,1190.48,6,4,3,4,20,77.86048,122.235272,0.78125,2.258065,6,3.947649,2.12766,1.126761,19,4.686702
782,90,892.86,5,4,2,4,3,131.710791,119.801203,0.618557,1.515152,6,1.031698,1.818182,1.388889,19,1.973794
783,48,1190.48,4,4,2,4,20,191.014306,119.310428,0.900901,1.212121,6,1.759656,2.173913,1.086957,19,2.875809
785,29,1785.71,5,4,2,4,3,355.913646,296.894147,1.041667,1.428571,6,2.938201,3.157895,1.578947,18,3.689692
790,72,3273.81,5,4,0,4,3,229.206777,73.574684,0.769231,1.923077,5,2.390246,0.97561,2.592593,17,1.948688
791,29,2232.14,5,4,2,4,3,185.769274,157.698949,1.463415,2.222222,7,1.264869,2.4,2.089552,17,1.418399
792,48,5773.81,9,4,0,4,3,74.182745,77.786847,1.860465,0.104275,6,0.586328,1.19403,3,18,1.082656
799,72,2619.05,3,4,2,1,4,592.398761,228.394428,0.776699,1.702128,6,4.776598,2.44898,2.727273,18,8.526439
803,91,1488.1,5,4,3,2,9,139.317987,99.680291,0.008034,2.051282,6,0.678399,2.222222,4.615385,15,1.723606
804,56,3125,2,4,2,2,3,281.496407,144.537711,3.333333,2.439024,2,2.485674,3.529412,2.5,20,4.082182
805,120,4761.9,4,4,2,2,3,200.128969,164.471839,0.672269,2.564103,7,2.424248,2.666667,1.904762,18,3.44768
809,49,2559.52,4,4,3,2,10,123.421478,60.709934,0.97561,2.380952,6,3.095051,1.777778,1.075269,19,2.328365
813,120,2172.62,11,4,2,1,9,124.985894,52.773085,0.606061,1.818182,7,1.245238,2.051282,1.818182,19,0.98836
814,49,1785.71,5,4,2,2,5,95.384152,53.364553,0.576923,2.8,7,1.546364,1.37931,2.564103,19,1.43894
816,108,2083.33,2,4,2,2,9,526.19479,128.082603,1.5625,0.461538,7,7.105049,2.173913,2.285714,20,7.844899
819,36,2976.19,4,4,2,2,4,996.290623,285.350427,1.791045,3,8,11.031607,1.621622,3.243243,18,12.522542
822,63,7440.48,7,4,3,2,9,393.319095,106.530625,0.952381,2.181818,7,10.24243,3.478261,1.904762,20,6.889355
826,90,446.43,3,4,2,2,9,243.4996,102.47783,0.555556,1.428571,5,5.914285,1.276596,1.612903,19,4.783679
827,35,2380.95,3,4,2,2,4,387.331045,106.362275,1.73913,0.851064,8,3.332523,1.428571,2.173913,19,4.086284
830,240,2797.62,2,4,3,2,15,713.301841,837.648229,2.857143,2.051282,7,5.094944,2.352941,2.222222,18,6.241726
833,210,7440.48,3,4,3,6,2,658.947959,628.845958,1.408451,1.318681,7,7.480955,1.176471,2.181818,18,12.285411
834,195,0,3,4,3,2,28,1023.328004,932.864354,1.176471,1,8,11.877517,2.727273,2.173913,18,10.301575
3,210,27855.15,2,4,3,6,2,994.282506,569.030589,0.6,1.081081,7,5.512601,2.807018,1.904762,20,8.28832
4,180,11142.06,2,7,3,2,5,619.423681,404.916203,2.278481,2.5,10,6.521461,1.052632,2.162162,18,5.361145
5,190,27855.15,5,7,3,2,10,884.76718,510.245011,1.052632,1.639344,7,12.142991,1.904762,1.702128,20,13.113563
6,190,22284.12,3,7,3,6,1,538.049648,331.499595,0.987654,0.902256,7,11.216377,1.666667,2.222222,17,5.87336
10,80,15320.33,5,0,3,2,13,554.679979,405.133445,1.237113,2.631579,6,3.599299,1.333333,2.8,17,4.47715
11,80,1309.19,3,0,3,2,14,605.951366,421.836118,1.72043,1.111111,9,3.394726,3.589744,2.916667,17,6.76802
12,80,5571.03,1,0,3,2,13,249.52274,200.98027,1.363636,1.2,4,1.802885,1.860465,2.051282,20,1.427355
14,70,12451.25,6,0,2,2,6,528.844564,472.252682,1.666667,2.5,8,2.571487,1.538462,3.333333,17,6.284968
16,80,2618.38,7,0,3,2,6,971.023747,615.621167,0.704225,2.666667,5,6.012949,3.684211,3.043478,17,7.085506
17,70,4094.71,5,0,3,2,6,788.21495,631.112013,1.621622,2.222222,6,6.329939,2.083333,3.333333,16,8.10954
19,80,2618.38,6,0,3,2,4,177.198525,157.806094,1.333333,1.025641,6,0.622651,2.173913,2.142857,18,2.025827
22,80,5571.03,3,0,3,2,13,541.374755,410.725031,1.492537,0.662983,5,5.516055,1.428571,2.857143,18,3.809772
25,70,5292.48,4,0,3,2,12,211.624726,119.423261,2.121212,1.538462,9,1.506849,2.857143,3.5,17,3.284395
26,80,1309.19,11,0,2,2,2,602.168032,445.079365,0.754717,1.025641,5,4.387713,2.222222,1.846154,18,8.492182
28,80,9749.3,11,0,3,2,2,674.020419,466.731096,0.857143,1.492537,5,7.874409,2.352941,3.076923,16,5.114877
32,80,1309.19,6,0,3,2,7,905.20804,537.238015,0.684932,3.272727,5,6.100524,1.923077,3.076923,18,9.341282
33,70,4178.27,2,0,3,2,16,755.98125,513.585766,2.5,2,8,3.177733,2.564103,2.44898,18,8.655988
34,80,6963.79,6,0,3,2,6,398.867288,265.629109,2.727273,2.5,9,2.377857,3.2,2.553191,18,3.658594
35,80,6963.79,6,0,3,2,11,568.31059,396.428478,0.620155,1.5,5,7.142238,2.083333,3.076923,18,6.25017
37,150,3621.17,8,0,3,2,7,1029.352305,647.551226,1.492537,2.564103,6,9.910697,1.764706,1.904762,18,14.314771
40,81,3342.62,7,0,0,4,3,300.699826,146.647486,1.578947,1.111111,6,2.272337,3.555556,1.6,18,2.946519
41,110,696.38,7,4,0,1,14,148.421924,137.82905,1.034483,2.307692,6,0.760911,1.666667,2.564103,19,1.456149
42,42,668.52,13,4,0,4,3,227.820869,273.178014,2.564103,0.625,6,0.700342,1.777778,2.380952,18,1.170625
51,96,3064.07,5,4,2,4,3,489.254932,399.206453,0.793651,1.538462,5,6.91968,2.051282,3.018868,16,6.6455
53,66,3342.62,8,4,0,1,3,169.484295,138.071463,0.615385,1.538462,5,1.060718,3.076923,2.553191,18,1.417198
60,63,696.38,6,4,0,1,3,155.422957,164.010573,0.012049,1.538462,9,0.209696,1.025641,0.008033,13,0.223944
61,30,696.38,10,4,0,2,3,164.15411,151.166682,0.508475,0.526316,3,1.54657,1.724138,2.5,17,1.522428
86,70,13924.79,4,4,2,5,3,310.462389,335.976341,1.190476,1.276596,7,5.672614,2.564103,2.222222,19,4.541333
87,32,2228.41,5,4,2,5,3,130.582856,116.566958,0.560748,0.666667,6,1.774483,1.142857,1.791045,18,2.019364
89,40,5849.58,7,4,2,5,2,96.779935,78.841109,0.652174,0.851064,6,1.451979,2.962963,1.012658,20,0.994566
94,64,1253.48,3,4,2,2,4,95.609816,85.670241,0.006025,0.754717,6,0.05922,3.076923,2.051282,20,0.415362
95,77,1559.89,4,4,2,8,3,225.962656,186.008565,0.689655,1.666667,6,1.867437,1.090909,1.904762,18,2.990398
100,70,2228.41,7,4,2,5,4,283.380522,225.70618,1.627907,1.621622,7,1.732832,1.090909,1.621622,18,3.132705
101,80,1671.31,3,4,2,1,2,100.097123,78.398386,0.551724,2.051282,6,1.062663,2.5,2.4,18,1.367314
105,40,9749.3,4,4,2,1,4,287.91418,201.479185,2.222222,2.222222,10,1.22702,1.538462,1.265823,18,2.955854
106,88,1949.86,1,7,3,2,3,187.069794,164.032089,1.428571,1.694915,7,1.002033,1.463415,2.641509,17,2.191266
114,80,1253.48,2,4,2,5,4,101.501156,98.480181,0.769231,4.102564,7,0.409314,1.724138,1.694915,19,1.562455
119,28,1114.21,3,4,2,1,4,105.706782,89.147359,0.612245,1.363636,6,1.133526,1.538462,1.098901,19,2.03872
842,120,13927.58,2,4,3,2,3,500.251588,356.918507,2.142857,1.923077,9,4.118439,2.553191,1.090909,21,3.04137
846,180,8356.55,4,7,3,6,5,346.297954,260.402074,1.621622,2.285714,9,1.69141,1.538462,1.944444,17,6.971079
847,180,16713.09,2,7,3,2,21,784.208449,545.933443,1.052632,2.153846,6,5.511098,1.860465,1.643836,18,8.877248
