@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
12002399,74,5657.71,10,4,2,1,7,482.570597,333.629159,8,18,2.504218
4083,42,5653.27,4,0,3,1,16,498.463139,332.748474,5,18,6.753709
12004093,41,3059.3,4,4,3,1,12,287.35407,248.687429,4,19,4.606629
12027745,120,3465.91,12,4,3,2,20,1448.148697,1058.49699,10,20,16.759375
7912,91,2714.29,6,4,3,1,6,142.136017,180.785,9,18,1.188619
12026345,153,568.18,2,4,2,1,15,318.241807,319.36628,7,18,1.886207
12002577,173,5657.71,1,4,2,1,15,281.563767,244.316955,7,19,1.103295
12004271,115,1482.48,2,4,0,4,18,448.974951,394.679182,6,19,3.381756
12005740,474,6377.55,3,7,3,6,19,1298.367482,591.920355,9,19,5.845556
7246,400,45238.1,3,7,3,2,16,1051.632811,1017.015073,7,21,13.91898
10708,440,45751.63,4,4,3,2,6,2383.678925,1073.332211,8,21,19.378335
1001839,45,1321.14,1,4,2,4,7,231.722715,145.213469,7,18,1.002108
12004202,70,2695.42,7,4,2,6,12,265.671045,190.929897,6,18,1.305
635,40,4464.29,5,4,2,5,3,98.022329,375.881728,5,20,1.22208
10657,62,8714.6,2,7,3,6,1,399.235244,324.614578,6,20,1.662254
1003909,36,9398.5,4,0,3,6,16,128.56157,113.112249,4,19,1.655216
1004088,74,1541.35,0,4,0,4,4,96.083832,99.183701,6,18,0.75991
1006023,100,1808.18,5,4,2,6,12,115.960344,105.818351,7,20,1.991013
12004141,38,336.93,4,4,3,1,1,148.597528,139.883009,6,20,1.429167
12005506,191,1530.61,2,7,3,6,20,92.331495,94.470142,8,19,1.023529
519,48,0,5,4,3,2,3,76.221812,64.971433,7,19,1.062554
1003898,38,7857.14,7,0,3,6,15,131.118405,132.423884,8,19,0.692935
1004343,25,357.14,3,4,2,6,9,196.962027,185.479767,8,19,1.017039
1005873,13,1257.86,1,4,2,4,1,165.578099,119.934303,8,18,0.906921
2992,120,5305.04,4,4,3,2,20,655.85273,583.655749,7,19,6.134615
3212,190,61007.96,2,7,3,2,1,578.37138,559.79323,7,16,4.958572
11151,375,87145.97,2,7,3,6,2,1705.778534,1248.576403,9,22,7.540983
4709,200,21356.78,2,7,3,2,7,1605.037543,1093.828607,8,21,6.292476
1004433,500,131580.83,4,7,3,6,4,2418.239432,800.369212,7,20,10.951057
12027372,46,704.55,3,0,3,2,1,226.748202,343.582802,6,17,1.712245
8538,41,827.89,3,4,0,1,3,109.325334,110.887472,8,18,1.06057
12000852,56,0,5,4,3,2,41,426.436814,247.405862,5,19,3.151569
12002681,60,1881.19,2,4,2,6,15,89.816394,88.51238,9,19,0.968254
1004497,159,3796.99,7,4,2,6,8,187.908645,188.455851,10,18,1.820468
12025162,62,6818.18,6,4,2,6,15,326.875621,317.547842,10,18,1.025269
504,36,0,5,4,2,5,3,229.445923,229.445923,6,19,6.3308
1002572,46,3929.27,4,7,3,6,9,309.137773,154.711973,5,19,1.129463
1223,121,1392.76,4,4,3,2,5,760.532396,361.835898,9,20,5.628166
12004778,163,7115.9,8,4,2,6,18,1177.376185,491.217118,7,20,4.149234
12008310,169,21683.67,5,7,3,2,35,745.720374,392.697403,6,20,6.581504
1000700,24,4453.61,6,4,2,6,10,302.846283,231.983645,6,17,1.559474
1002595,32,4636.54,5,4,2,6,10,225.038998,238.031214,8,18,1.213795
1004182,27,2631.58,5,4,2,4,3,331.226393,234.896103,6,18,0.482675
464,15,6148.87,3,4,2,5,3,78.915982,74.960162,6,19,2.002917
3038,120,6631.3,3,7,3,1,19,917.681881,659.201011,5,19,12.959502
4069,42,1256.28,4,0,3,1,18,368.113468,333.581057,4,18,2.007904
12005515,11,4540.82,4,4,2,1,4,1188.67415,524.882983,5,19,7.526761
1205,288,11142.06,8,7,3,7,4,2564.706576,1103.161544,6,18,23.252947
1005600,750,169025.16,5,4,3,6,7,1755.823299,602.61794,8,19,6.855664
12003578,57,619.95,4,4,2,6,8,147.522836,135.910417,10,18,0.663433
12007478,66,1530.61,1,4,2,1,3,90.476332,65.176423,10,16,0.262687
12026605,141,7875,8,7,3,2,8,811.774778,665.184754,10,18,2.453825
3725,180,1306.53,1,4,2,6,6,111.485241,128.974288,8,18,0.641106
8465,40,2178.65,10,4,0,4,6,268.020316,167.216261,7,18,1.837266
10178,207,3921.57,4,4,0,1,4,176.376206,119.595206,6,18,0.923424
10245,257,11982.57,2,4,3,1,8,297.114927,251.574759,7,20,1.737992
12002759,92,1881.19,5,4,2,6,15,393.607341,290.866027,9,20,2.49186
4155,42,9283.82,7,1,3,1,12,664.078946,576.971946,5,19,6.331949
4598,225,18844.22,3,0,3,2,10,1714.462464,1051.638445,9,19,17.424355
1000691,269,5154.64,10,7,2,6,10,1108.828547,1050.206667,6,19,1.646394
1000750,53,1443.3,8,4,2,2,5,252.538819,87.947886,5,19,3.023511
1002813,92,1964.64,8,7,2,2,11,442.505112,286.614208,6,19,5.043324
4706,190,25198.94,4,7,3,2,12,1066.18739,908.518624,7,21,12.672329
1003272,71,25540.28,6,7,3,6,10,625.62623,332.547765,7,21,6.005291
7694,60,2500,3,4,1,1,5,182.102986,158.94664,4,18,1.14283
12004631,124,1536.39,1,4,2,6,18,198.964862,210.713306,9,18,1.020899
12007326,92,3188.78,11,4,2,1,11,286.992026,139.068096,6,17,1.48755
1002658,94,2514.73,9,4,2,4,2,392.366417,217.865716,6,17,3.456494
1220,143,22284.12,3,7,3,2,1,725.121586,310.575564,7,20,9.326482
12002711,23,1131.54,1,4,2,6,14,863.993012,605.571544,7,20,2.252083
1002842,61,5893.91,1,4,2,6,13,150.858419,171.462253,5,19,3.576873
1002852,123,1532.42,3,7,0,6,11,109.744122,191.345948,6,19,0.596437
12026081,207,1534.09,0,7,3,6,18,630.816119,570.162419,7,19,3.35
12006871,30,1530.61,3,4,2,1,17,204.971426,98.435456,7,18,1.188272
11174,400,87145.97,2,7,3,6,11,611.132394,585.685278,6,18,3.43053
1005545,375,117924.53,1,7,3,6,7,1144.718868,738.492262,10,19,7.557757
12025192,234,3579.55,4,7,2,3,14,350.728406,357.655821,5,18,1.282514
12026033,102,1261.36,3,4,2,6,18,542.106337,595.79105,6,18,2.618011
704,143,2797.62,2,4,3,2,5,1045.980508,610.678454,6,20,7.634188
1185,180,13927.58,5,4,3,6,8,1085.516048,577.238639,6,20,10.86578
11077,200,37037.04,4,7,3,6,8,1023.167794,723.863629,7,21,13.174731
1004155,156,676.69,6,4,2,6,4,149.236162,101.363119,7,20,1.524527
