@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
105,40,9749.3,4,4,2,1,4,287.91418,201.479185,10,18,2.955854
106,88,1949.86,1,7,3,2,3,187.069794,164.032089,7,17,2.191266
114,80,1253.48,2,4,2,5,4,101.501156,98.480181,7,19,1.562455
119,28,1114.21,3,4,2,1,4,105.706782,89.147359,6,19,2.03872
842,120,13927.58,2,4,3,2,3,500.251588,356.918507,9,21,3.04137
846,180,8356.55,4,7,3,6,5,346.297954,260.402074,9,17,6.971079
847,180,16713.09,2,7,3,2,21,784.208449,545.933443,6,18,8.877248
848,154,8356.55,1,7,3,6,4,611.242803,425.505736,6,19,7.125612
849,120,11142.06,4,7,3,6,1,594.602605,440.480323,7,21,6.79448
850,210,19498.61,5,7,3,2,3,827.70325,519.854996,8,18,9.823192
851,190,22284.12,4,7,3,2,10,1216.343083,874.083012,8,21,9.19675
852,190,33426.18,2,7,3,6,5,1491.236268,1102.808659,7,17,8.494358
853,190,22284.12,5,7,3,2,21,1384.132943,924.710804,9,17,9.321564
854,210,27855.15,4,7,3,6,9,775.683592,572.679007,8,21,8.724131
855,100,19498.61,4,7,3,2,1,846.227484,739.857004,7,21,10.200292
856,190,16713.09,4,7,3,2,5,391.551236,395.710232,6,20,5.265853
857,190,33426.18,5,7,3,6,5,621.137621,570.271921,7,19,10.185307
858,210,19498.61,4,7,3,6,7,570.38605,657.259283,7,18,6.198668
860,350,27855.15,4,7,3,2,3,1210.410873,740.331289,7,20,10.906922
861,330,33426.18,4,7,3,6,2,1605.193149,1151.53703,8,17,8.69731
862,100,13927.58,3,7,3,6,3,658.196305,448.025456,6,17,6.748338
863,224,14484.68,3,7,3,6,3,375.556439,283.404864,7,17,3.986879
864,210,33426.18,4,7,3,6,13,1152.65068,804.471142,6,20,7.484316
867,121,8356.55,3,7,3,2,4,784.49313,522.339974,6,19,7.414198
869,190,25069.64,4,7,3,2,4,690.798129,479.114773,10,18,8.952067
870,1000,19498.61,4,7,3,2,1,794.540058,752.796493,6,19,6.368056
873,210,16713.09,3,7,3,2,1,864.852995,465.980269,10,18,8.251179
875,190,0,4,7,3,6,3,789.186477,605.711352,9,18,6.51564
879,110,19498.61,1,7,3,2,2,270.435215,202.772658,10,20,2.5748
880,190,18941.5,4,7,3,2,5,1016.284744,747.376759,8,21,11.659046
883,180,36211.7,6,7,3,2,2,1384.703289,993.118431,7,21,11.647772
885,252,22284.12,3,7,3,2,9,971.320412,621.407814,8,20,13.008734
