@relation 'combine_winter_dataframe-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute Province_ENC numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute mu2 numeric
@attribute A2 numeric
@attribute sigma2 numeric

@data
600,32,2678.57,4,4,2,5,3,0,154.611311,124.608889,6,2.196263,19,1.356393,1.123596
606,77,1488.1,2,4,2,5,3,0,79.841663,62.686062,6,1.417479,19,1.129741,1.428571
611,54,2976.19,3,4,2,5,3,0,299.484609,295.807464,9,1.229246,19,3.218471,1.818182
612,99,2678.57,5,4,2,5,3,0,103.359769,96.620175,6,1.115821,20,0.581035,0.697674
615,40,1488.1,4,4,2,5,3,0,181.996799,156.863208,6,3.19975,19,4.731065,1.632653
618,70,1488.1,4,4,2,5,3,0,118.689075,126.087504,4,0.469766,20,0.465804,4.102564
620,35,2976.19,3,4,2,5,3,0,66.228074,57.752006,8,0.82332,20,1.126921,2.777778
622,99,892.86,2,4,2,5,3,0,114.174159,81.198558,6,1.963985,20,1.667269,1.153846
625,84,2380.95,10,4,2,5,3,0,500.288691,413.324823,6,3.459209,19,6.186246,1.935484
627,120,2380.95,3,4,2,2,3,0,164.082662,146.675212,6,1.683995,17,2.555404,0.689655
632,77,2380.95,9,4,2,5,3,0,108.074904,91.383944,7,1.504299,19,1.795101,0.540541
633,80,1398.81,3,4,2,5,3,0,108.445353,94.116597,3,0.140726,21,0.176934,2
634,80,1785.71,6,4,2,5,1,0,155.295812,64.41487,8,1.465699,19,2.119152,3.030303
635,40,4464.29,5,4,2,5,3,0,98.022329,375.881728,5,1.22208,20,2.434822,0.731707
637,90,1041.67,1,4,2,1,3,0,100.520623,63.997303,7,1.083376,18,1.854803,0.909091
639,120,2976.19,3,4,2,5,3,0,112.71265,90.939951,6,1.511627,18,1.562725,0.487805
640,120,2589.29,3,4,2,5,3,0,484.598014,345.306729,7,5.685315,20,5.364119,1.509434
646,216,5952.38,5,4,2,5,3,0,133.196953,147.976114,7,0.667279,19,2.164179,0.39604
