@relation WDF_large_small_R

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material {Asbestos,Tiles,Plastic,Blocks,IBR/Corr.Iron/Zinc,Concrete,'Wood/Masonite board',Thatch/Grass}
@attribute water_access {'tap inside house','tap in yard','nearby river/dam/borehole','block/street taps'}
@attribute wall_material {Brick,Blocks,Asbestos,Plaster,Daub/Mud/Clay,IBR/Corr.Iron/Zinc,'Wood/Masonite board',Plastic,Concrete}
@attribute years_electrified numeric
@attribute Province {WC,KZN,EC,GP,FS,LIM,NC,NW,MP}
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
625,84,2380.95,10,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,500.288691,413.324823,6,19,6.186246
627,120,2380.95,3,IBR/Corr.Iron/Zinc,'tap in yard',Brick,3,EC,164.082662,146.675212,6,17,2.555404
632,77,2380.95,9,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,108.074904,91.383944,7,19,1.795101
633,80,1398.81,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,108.445353,94.116597,3,21,0.176934
635,40,4464.29,5,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,98.022329,375.881728,5,20,2.434822
637,90,1041.67,1,IBR/Corr.Iron/Zinc,'tap in yard',Blocks,3,EC,100.520623,63.997303,7,18,1.854803
639,120,2976.19,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,112.71265,90.939951,6,18,1.562725
640,120,2589.29,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,484.598014,345.306729,7,20,5.364119
646,216,5952.38,5,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,133.196953,147.976114,7,19,2.164179
647,140,2380.95,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,135.152505,125.630324,7,19,1.617534
662,208,7440.48,6,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,5,GP,824.481133,620.153262,7,17,13.711715
663,144,0,1,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,11,GP,536.437505,466.25053,9,18,0.645658
664,132,1398.81,1,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,5,GP,752.499056,308.284963,7,19,8.790484
667,255,11904.76,5,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,7,GP,1452.853307,890.279643,6,19,14.845556
673,306,16369.05,10,IBR/Corr.Iron/Zinc,'tap inside house',Brick,27,GP,1832.653328,1108.697706,6,20,13.356511
674,216,18764.88,5,IBR/Corr.Iron/Zinc,'tap inside house',Brick,13,GP,1396.453433,949.660653,7,19,17.633068
682,135,9226.19,4,IBR/Corr.Iron/Zinc,'tap inside house',Brick,3,GP,791.642273,596.954559,6,18,8.498042
686,96,13467.26,5,Tiles,'tap inside house',Brick,5,GP,679.979646,514.228133,10,19,7.108154
688,324,14880.95,5,IBR/Corr.Iron/Zinc,'tap inside house',Brick,2,GP,967.579575,730.402563,5,18,8.307081
689,224,11904.76,4,IBR/Corr.Iron/Zinc,'tap inside house',Brick,2,GP,995.914918,768.177542,7,19,13.009444
697,210,0,3,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,18,GP,1168.604288,780.78993,8,18,13.167384
698,180,7440.48,5,Tiles,'tap inside house',Brick,34,GP,933.90408,640.575024,7,18,8.289713
701,240,0,9,Tiles,'tap inside house',Plaster,5,GP,2497.824512,1142.263101,6,20,13.455404
704,143,2797.62,2,IBR/Corr.Iron/Zinc,'tap inside house',Brick,5,GP,1045.980508,610.678454,6,20,5.939288
705,143,4761.9,5,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,5,GP,1178.673854,747.582103,6,16,9.038973
712,195,14880.95,3,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,18,GP,1114.010099,910.143636,7,19,12.033761
717,182,3779.76,3,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,23,GP,552.47035,534.769792,10,19,6.747826
718,210,22916.67,4,IBR/Corr.Iron/Zinc,'tap inside house',Brick,5,GP,802.389087,834.832782,6,18,9.975854
720,323,17857.14,4,Tiles,'tap inside house',Plaster,20,GP,735.532254,609.194856,6,19,8.596367
721,225,13392.86,5,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,12,GP,956.188289,810.102221,7,21,9.894152
729,72,2648.81,6,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,2,KZN,166.496762,69.54668,6,19,1.428641
